"filename", "language", "Go Checksum File", "Go Module File", "Go", "HTML", "PostCSS", "JSON with Comments", "Markdown", "comment", "blank", "total"
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\productos-partida.page.tmpl", "HTML", 0, 0, 0, 96, 0, 0, 0, 1, 10, 107
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\propuestas.page.tmpl", "HTML", 0, 0, 0, 176, 0, 0, 0, 1, 24, 201
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\datos-referencia.page.tmpl", "HTML", 0, 0, 0, 304, 0, 0, 0, 6, 30, 340
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\empresas-externas.page.tmpl", "HTML", 0, 0, 0, 61, 0, 0, 0, 1, 2, 64
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\entidades-nueva.page.tmpl", "HTML", 0, 0, 0, 66, 0, 0, 0, 8, 14, 88
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\entidades-opciones.page.tmpl", "HTML", 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\opciones.page.tmpl", "HTML", 0, 0, 0, 42, 0, 0, 0, 0, 2, 44
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\productos-externos.page.tmpl", "HTML", 0, 0, 0, 103, 0, 0, 0, 1, 6, 110
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\proyectos\nuevo-proyecto.page.tmpl", "HTML", 0, 0, 0, 158, 0, 0, 0, 3, 19, 180
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\proyectos\proyectos-vista.page.tmpl", "HTML", 0, 0, 0, 67, 0, 0, 0, 0, 2, 69
"Total", "-", 10, 9, 4365, 3245, 312, 8, 107, 587, 1302, 9945
